Name,Label
,Ses01F_impro03_F000,hap
,Ses01F_impro03_F001,hap
,Ses01F_impro03_F002,hap
,Ses01F_impro03_F003,xxx
,Ses01F_impro03_F004,hap
,Ses01F_impro03_F005,hap
,Ses01F_impro03_F006,hap
,Ses01F_impro03_F007,xxx
,Ses01F_impro03_F008,hap
,Ses01F_impro03_F009,hap
,Ses01F_impro03_F010,hap
,Ses01F_impro03_F011,xxx
,Ses01F_impro03_F012,hap
,Ses01F_impro03_F013,hap
,Ses01F_impro03_F014,xxx
,Ses01F_impro03_F015,exc
,Ses01F_impro03_F016,hap
,Ses01F_impro03_F017,neu
,Ses01F_impro03_F018,neu
,Ses01F_impro03_F019,neu
,Ses01F_impro03_F020,xxx
,Ses01F_impro03_F021,hap
,Ses01F_impro03_F022,neu
,Ses01F_impro03_F023,neu
,Ses01F_impro03_F024,hap
,Ses01F_impro03_F025,hap
,Ses01F_impro03_F026,hap
,Ses01F_impro03_M000,neu
,Ses01F_impro03_M001,neu
,Ses01F_impro03_M002,sur
,Ses01F_impro03_M003,exc
,Ses01F_impro03_M004,xxx
,Ses01F_impro03_M005,xxx
,Ses01F_impro03_M006,neu
,Ses01F_impro03_M007,hap
,Ses01F_impro03_M008,neu
,Ses01F_impro03_M009,neu
,Ses01F_impro03_M010,xxx
,Ses01F_impro03_M011,neu
,Ses01F_impro03_M012,xxx
,Ses01F_impro03_M013,hap
,Ses01F_impro03_M014,hap
,Ses01F_impro03_M015,hap
,Ses01F_impro03_M016,neu
,Ses01F_impro03_M017,sur
,Ses01F_impro03_M018,sur
,Ses01F_impro03_M019,neu
,Ses01F_impro03_M020,neu
,Ses01F_impro03_M021,neu
,Ses01F_impro03_M022,exc
,Ses01F_impro03_M023,hap
,Ses01F_impro03_M024,neu
,Ses01F_impro01_F000,neu
,Ses01F_impro01_F001,neu
,Ses01F_impro01_F002,neu
,Ses01F_impro01_F003,xxx
,Ses01F_impro01_F004,xxx
,Ses01F_impro01_F005,neu
,Ses01F_impro01_F006,fru
,Ses01F_impro01_F007,fru
,Ses01F_impro01_F008,fru
,Ses01F_impro01_F009,fru
,Ses01F_impro01_F010,xxx
,Ses01F_impro01_F011,fru
,Ses01F_impro01_F012,ang
,Ses01F_impro01_F013,fru
,Ses01F_impro01_F014,neu
,Ses01F_impro01_F015,fru
,Ses01F_impro01_M000,fru
,Ses01F_impro01_M001,fru
,Ses01F_impro01_M002,fru
,Ses01F_impro01_M003,fru
,Ses01F_impro01_M004,fru
,Ses01F_impro01_M005,fru
,Ses01F_impro01_M006,fru
,Ses01F_impro01_M007,fru
,Ses01F_impro01_M008,fru
,Ses01F_impro01_M009,fru
,Ses01F_impro01_M010,fru
,Ses01F_impro01_M011,ang
,Ses01F_impro01_M012,xxx
,Ses01F_impro01_M013,ang
,Ses01F_impro05_F000,fru
,Ses01F_impro05_F001,fru
,Ses01F_impro05_F002,fru
,Ses01F_impro05_F003,fru
,Ses01F_impro05_F004,fru
,Ses01F_impro05_F005,fru
,Ses01F_impro05_F006,xxx
,Ses01F_impro05_F007,fru
,Ses01F_impro05_F008,ang
,Ses01F_impro05_F009,ang
,Ses01F_impro05_F010,xxx
,Ses01F_impro05_F011,ang
,Ses01F_impro05_F012,ang
,Ses01F_impro05_F013,xxx
,Ses01F_impro05_F014,ang
,Ses01F_impro05_F015,ang
,Ses01F_impro05_F016,ang
,Ses01F_impro05_F017,ang
,Ses01F_impro05_F018,ang
,Ses01F_impro05_F019,ang
,Ses01F_impro05_F020,ang
,Ses01F_impro05_F021,ang
,Ses01F_impro05_F022,ang
,Ses01F_impro05_F023,ang
,Ses01F_impro05_F024,ang
,Ses01F_impro05_F025,ang
,Ses01F_impro05_F026,ang
,Ses01F_impro05_F027,xxx
,Ses01F_impro05_F028,ang
,Ses01F_impro05_F029,ang
,Ses01F_impro05_F030,ang
,Ses01F_impro05_M000,neu
,Ses01F_impro05_M001,hap
,Ses01F_impro05_M002,hap
,Ses01F_impro05_M003,neu
,Ses01F_impro05_M004,neu
,Ses01F_impro05_M005,neu
,Ses01F_impro05_M006,neu
,Ses01F_impro05_M007,neu
,Ses01F_impro05_M008,neu
,Ses01F_impro05_M009,neu
,Ses01F_impro05_M010,neu
,Ses01F_impro05_M011,neu
,Ses01F_impro05_M012,neu
,Ses01F_impro05_M013,neu
,Ses01F_impro05_M014,neu
,Ses01F_impro05_M015,neu
,Ses01F_impro05_M016,neu
,Ses01F_impro05_M017,neu
,Ses01F_impro05_M018,xxx
,Ses01F_impro05_M019,neu
,Ses01F_impro05_M020,neu
,Ses01F_impro05_M021,xxx
,Ses01F_impro05_M022,neu
,Ses01F_impro05_M023,neu
,Ses01F_impro05_M024,neu
,Ses01F_impro05_M025,neu
,Ses01F_impro05_M026,neu
,Ses01F_impro05_M027,neu
,Ses01F_impro05_M028,neu
,Ses01F_impro05_M029,neu
,Ses01F_impro05_M030,neu
,Ses01F_impro05_M031,neu
,Ses01F_impro05_M032,sur
,Ses01F_impro05_M033,sur
,Ses01F_impro05_M034,neu
,Ses01F_impro05_M035,neu
,Ses01M_script03_1_F000,xxx
,Ses01M_script03_1_F001,fea
,Ses01M_script03_1_F002,fea
,Ses01M_script03_1_F003,hap
,Ses01M_script03_1_F004,hap
,Ses01M_script03_1_F005,xxx
,Ses01M_script03_1_F006,xxx
,Ses01M_script03_1_F007,exc
,Ses01M_script03_1_F008,hap
,Ses01M_script03_1_F009,hap
,Ses01M_script03_1_F010,hap
,Ses01M_script03_1_F011,hap
,Ses01M_script03_1_F012,xxx
,Ses01M_script03_1_F013,xxx
,Ses01M_script03_1_F014,hap
,Ses01M_script03_1_F015,hap
,Ses01M_script03_1_F016,xxx
,Ses01M_script03_1_F017,hap
,Ses01M_script03_1_F018,hap
,Ses01M_script03_1_F019,hap
,Ses01M_script03_1_F020,xxx
,Ses01M_script03_1_F021,hap
,Ses01M_script03_1_F022,xxx
,Ses01M_script03_1_F023,xxx
,Ses01M_script03_1_F024,hap
,Ses01M_script03_1_F025,xxx
,Ses01M_script03_1_F026,xxx
,Ses01M_script03_1_F027,xxx
,Ses01M_script03_1_F028,xxx
,Ses01M_script03_1_F029,xxx
,Ses01M_script03_1_F030,hap
,Ses01M_script03_1_F031,exc
,Ses01M_script03_1_F032,xxx
,Ses01M_script03_1_F033,xxx
,Ses01M_script03_1_F034,hap
,Ses01M_script03_1_F035,xxx
,Ses01M_script03_1_F036,hap
,Ses01M_script03_1_F037,hap
,Ses01M_script03_1_F038,hap
,Ses01M_script03_1_F039,hap
,Ses01M_script03_1_F040,hap
,Ses01M_script03_1_F041,exc
,Ses01M_script03_1_M000,fea
,Ses01M_script03_1_M001,fea
,Ses01M_script03_1_M002,xxx
,Ses01M_script03_1_M003,fea
,Ses01M_script03_1_M004,hap
,Ses01M_script03_1_M005,xxx
,Ses01M_script03_1_M006,xxx
,Ses01M_script03_1_M007,xxx
,Ses01M_script03_1_M008,xxx
,Ses01M_script03_1_M009,xxx
,Ses01M_script03_1_M010,hap
,Ses01M_script03_1_M011,hap
,Ses01M_script03_1_M012,hap
,Ses01M_script03_1_M013,hap
,Ses01M_script03_1_M014,sad
,Ses01M_script03_1_M015,xxx
,Ses01M_script03_1_M016,hap
,Ses01M_script03_1_M017,hap
,Ses01M_script03_1_M018,xxx
,Ses01M_script03_1_M019,hap
,Ses01M_script03_1_M020,xxx
,Ses01M_script03_1_M021,hap
,Ses01M_script03_1_M022,hap
,Ses01M_script03_1_M023,xxx
,Ses01M_script03_1_M024,xxx
,Ses01M_script03_1_M025,xxx
,Ses01M_script03_1_M026,xxx
,Ses01M_script03_1_M027,xxx
,Ses01M_script03_1_M028,exc
,Ses01M_script03_1_M029,exc
,Ses01M_script03_1_M030,hap
,Ses01M_script03_1_M031,hap
,Ses01M_script03_1_M032,xxx
,Ses01M_script03_1_M033,hap
,Ses01M_script03_1_M034,xxx
,Ses01M_script03_1_M035,xxx
,Ses01M_script03_1_M036,xxx
,Ses01M_script03_1_M037,exc
,Ses01M_script03_1_M038,xxx
,Ses01M_script03_1_M039,hap
,Ses01M_script03_1_M040,hap
,Ses01M_script03_1_M041,hap
,Ses01M_script03_1_M042,xxx
,Ses01M_impro07_F000,neu
,Ses01M_impro07_F001,exc
,Ses01M_impro07_F002,xxx
,Ses01M_impro07_F003,exc
,Ses01M_impro07_F004,exc
,Ses01M_impro07_F005,exc
,Ses01M_impro07_F006,exc
,Ses01M_impro07_F007,exc
,Ses01M_impro07_F008,exc
,Ses01M_impro07_F009,exc
,Ses01M_impro07_F010,neu
,Ses01M_impro07_F011,exc
,Ses01M_impro07_F012,neu
,Ses01M_impro07_F013,exc
,Ses01M_impro07_F014,exc
,Ses01M_impro07_F015,exc
,Ses01M_impro07_F016,exc
,Ses01M_impro07_F017,xxx
,Ses01M_impro07_F018,exc
,Ses01M_impro07_F019,xxx
,Ses01M_impro07_F020,neu
,Ses01M_impro07_F021,exc
,Ses01M_impro07_F022,exc
,Ses01M_impro07_F023,exc
,Ses01M_impro07_F024,exc
,Ses01M_impro07_F025,exc
,Ses01M_impro07_F026,exc
,Ses01M_impro07_F027,exc
,Ses01M_impro07_F028,xxx
,Ses01M_impro07_F029,xxx
,Ses01M_impro07_F030,xxx
,Ses01M_impro07_F031,xxx
,Ses01M_impro07_F032,xxx
,Ses01M_impro07_F033,hap
,Ses01M_impro07_F034,hap
,Ses01M_impro07_M000,exc
,Ses01M_impro07_M001,exc
,Ses01M_impro07_M002,exc
,Ses01M_impro07_M003,exc
,Ses01M_impro07_M004,exc
,Ses01M_impro07_M005,exc
,Ses01M_impro07_M006,hap
,Ses01M_impro07_M007,exc
,Ses01M_impro07_M008,exc
,Ses01M_impro07_M009,exc
,Ses01M_impro07_M010,exc
,Ses01M_impro07_M011,hap
,Ses01M_impro07_M012,xxx
,Ses01M_impro07_M013,hap
,Ses01M_impro07_M014,xxx
,Ses01M_impro07_M015,xxx
,Ses01M_impro07_M016,xxx
,Ses01M_impro07_M017,hap
,Ses01M_impro07_M018,exc
,Ses01M_impro07_M019,hap
,Ses01M_impro07_M020,neu
,Ses01M_impro07_M021,sur
,Ses01M_impro07_M022,sur
,Ses01M_impro07_M023,xxx
,Ses01M_impro07_M024,exc
,Ses01M_impro07_M025,xxx
,Ses01M_impro07_M026,neu
,Ses01M_impro07_M027,xxx
,Ses01M_impro07_M028,xxx
,Ses01M_impro07_M029,xxx
,Ses01M_impro07_M030,neu
,Ses01M_impro07_M031,xxx
,Ses01M_impro07_M032,hap
,Ses01M_impro07_M033,hap
,Ses01F_script03_1_F000,fea
,Ses01F_script03_1_F001,fea
,Ses01F_script03_1_F002,fea
,Ses01F_script03_1_F003,xxx
,Ses01F_script03_1_F004,xxx
,Ses01F_script03_1_F005,hap
,Ses01F_script03_1_F006,exc
,Ses01F_script03_1_F007,exc
,Ses01F_script03_1_F008,xxx
,Ses01F_script03_1_F009,xxx
,Ses01F_script03_1_F010,hap
,Ses01F_script03_1_F011,hap
,Ses01F_script03_1_F012,exc
,Ses01F_script03_1_F013,xxx
,Ses01F_script03_1_F014,xxx
,Ses01F_script03_1_F015,xxx
,Ses01F_script03_1_F016,xxx
,Ses01F_script03_1_F017,xxx
,Ses01F_script03_1_F018,xxx
,Ses01F_script03_1_F019,xxx
,Ses01F_script03_1_F020,hap
,Ses01F_script03_1_F021,hap
,Ses01F_script03_1_F022,hap
,Ses01F_script03_1_F023,xxx
,Ses01F_script03_1_F024,exc
,Ses01F_script03_1_F025,xxx
,Ses01F_script03_1_F026,xxx
,Ses01F_script03_1_F027,xxx
,Ses01F_script03_1_F028,xxx
,Ses01F_script03_1_F029,hap
,Ses01F_script03_1_F030,hap
,Ses01F_script03_1_F031,xxx
,Ses01F_script03_1_M000,fea
,Ses01F_script03_1_M001,fea
,Ses01F_script03_1_M002,fea
,Ses01F_script03_1_M003,fea
,Ses01F_script03_1_M004,xxx
,Ses01F_script03_1_M005,exc
,Ses01F_script03_1_M006,xxx
,Ses01F_script03_1_M007,hap
,Ses01F_script03_1_M008,hap
,Ses01F_script03_1_M009,hap
,Ses01F_script03_1_M010,hap
,Ses01F_script03_1_M011,xxx
,Ses01F_script03_1_M012,xxx
,Ses01F_script03_1_M013,hap
,Ses01F_script03_1_M014,xxx
,Ses01F_script03_1_M015,xxx
,Ses01F_script03_1_M016,xxx
,Ses01F_script03_1_M017,xxx
,Ses01F_script03_1_M018,hap
,Ses01F_script03_1_M019,xxx
,Ses01F_script03_1_M020,xxx
,Ses01F_script03_1_M021,exc
,Ses01F_script03_1_M022,xxx
,Ses01F_script03_1_M023,xxx
,Ses01F_script03_1_M024,exc
,Ses01F_script03_1_M025,hap
,Ses01F_script03_1_M026,hap
,Ses01F_script03_1_M027,xxx
,Ses01F_script03_1_M028,xxx
,Ses01F_script03_1_M029,xxx
,Ses01F_script03_1_M030,dis
,Ses01F_script03_1_M031,xxx
,Ses01F_script03_1_M032,xxx
,Ses01F_script03_1_M033,xxx
,Ses01F_script03_1_M034,hap
,Ses01F_script03_1_M035,xxx
,Ses01F_script03_1_M036,hap
,Ses01F_script03_1_M037,hap
,Ses01F_script03_1_M038,xxx
,Ses01F_impro07_F000,exc
,Ses01F_impro07_F001,xxx
,Ses01F_impro07_F002,exc
,Ses01F_impro07_F003,exc
,Ses01F_impro07_F004,exc
,Ses01F_impro07_F005,exc
,Ses01F_impro07_F006,xxx
,Ses01F_impro07_F007,xxx
,Ses01F_impro07_F008,xxx
,Ses01F_impro07_F009,exc
,Ses01F_impro07_F010,exc
,Ses01F_impro07_F011,xxx
,Ses01F_impro07_F012,exc
,Ses01F_impro07_F013,exc
,Ses01F_impro07_F014,xxx
,Ses01F_impro07_F015,xxx
,Ses01F_impro07_F016,exc
,Ses01F_impro07_M000,exc
,Ses01F_impro07_M001,exc
,Ses01F_impro07_M002,exc
,Ses01F_impro07_M003,exc
,Ses01F_impro07_M004,exc
,Ses01F_impro07_M005,exc
,Ses01F_impro07_M006,exc
,Ses01F_impro07_M007,exc
,Ses01F_impro07_M008,exc
,Ses01F_impro07_M009,exc
,Ses01F_impro07_M010,xxx
,Ses01F_impro07_M011,xxx
,Ses01F_impro07_M012,neu
,Ses01F_impro07_M013,neu
,Ses01F_impro07_M014,exc
,Ses01F_impro07_M015,exc
,Ses01F_impro07_M016,xxx
,Ses01F_impro07_M017,exc
,Ses01F_impro07_M018,neu
,Ses01F_impro07_M019,hap
,Ses01M_script02_2_F000,neu
,Ses01M_script02_2_F001,xxx
,Ses01M_script02_2_F002,fru
,Ses01M_script02_2_F003,fru
,Ses01M_script02_2_F004,xxx
,Ses01M_script02_2_F005,fru
,Ses01M_script02_2_F006,fru
,Ses01M_script02_2_F007,fru
,Ses01M_script02_2_F008,fru
,Ses01M_script02_2_F009,fru
,Ses01M_script02_2_F010,ang
,Ses01M_script02_2_F011,ang
,Ses01M_script02_2_F012,fru
,Ses01M_script02_2_F013,ang
,Ses01M_script02_2_F014,ang
,Ses01M_script02_2_F015,ang
,Ses01M_script02_2_F016,ang
,Ses01M_script02_2_F017,fru
,Ses01M_script02_2_F018,xxx
,Ses01M_script02_2_F019,neu
,Ses01M_script02_2_F020,xxx
,Ses01M_script02_2_F021,xxx
,Ses01M_script02_2_F022,sad
,Ses01M_script02_2_F023,xxx
,Ses01M_script02_2_F024,sad
,Ses01M_script02_2_F025,sad
,Ses01M_script02_2_F026,sad
,Ses01M_script02_2_F027,xxx
,Ses01M_script02_2_F028,fru
,Ses01M_script02_2_F029,fru
,Ses01M_script02_2_F030,ang
,Ses01M_script02_2_F031,ang
,Ses01M_script02_2_F032,ang
,Ses01M_script02_2_F033,sad
,Ses01M_script02_2_F034,sad
,Ses01M_script02_2_F035,sad
,Ses01M_script02_2_F036,sad
,Ses01M_script02_2_F037,sad
,Ses01M_script02_2_F038,sur
,Ses01M_script02_2_F039,sur
,Ses01M_script02_2_F040,sad
,Ses01M_script02_2_F041,xxx
,Ses01M_script02_2_F042,xxx
,Ses01M_script02_2_F043,xxx
,Ses01M_script02_2_F044,hap
,Ses01M_script02_2_F045,hap
,Ses01M_script02_2_F046,sad
,Ses01M_script02_2_F047,neu
,Ses01M_script02_2_M000,xxx
,Ses01M_script02_2_M001,exc
,Ses01M_script02_2_M002,exc
,Ses01M_script02_2_M003,exc
,Ses01M_script02_2_M004,xxx
,Ses01M_script02_2_M005,xxx
,Ses01M_script02_2_M006,fru
,Ses01M_script02_2_M007,xxx
,Ses01M_script02_2_M008,neu
,Ses01M_script02_2_M009,xxx
,Ses01M_script02_2_M010,fru
,Ses01M_script02_2_M011,xxx
,Ses01M_script02_2_M012,fru
,Ses01M_script02_2_M013,neu
,Ses01M_script02_2_M014,fru
,Ses01M_script02_2_M015,fru
,Ses01M_script02_2_M016,fru
,Ses01M_script02_2_M017,fru
,Ses01M_script02_2_M018,fru
,Ses01M_script02_2_M019,neu
,Ses01M_script02_2_M020,neu
,Ses01M_script02_2_M021,neu
,Ses01M_script02_2_M022,neu
,Ses01M_script02_2_M023,neu
,Ses01M_script02_2_M024,xxx
,Ses01M_script02_2_M025,neu
,Ses01M_script02_2_M026,xxx
,Ses01M_script02_2_M027,neu
,Ses01M_script02_2_M028,neu
,Ses01M_script02_2_M029,neu
,Ses01M_script02_2_M030,neu
,Ses01M_script02_2_M031,fru
,Ses01M_script02_2_M032,fru
,Ses01M_script02_2_M033,ang
,Ses01M_script02_2_M034,fru
